ds,holiday
2019-01-04,New Year's Day
2019-01-25,Martin Luther King Jr. Day
2019-02-22,Washington's Birthday
2019-05-31,Memorial Day
2019-06-21,Juneteenth National Independence Day (Observed)
2019-07-05,Independence Day
2019-09-06,Labor Day
2019-11-29,Thanksgiving
2019-12-27,Christmas Day
2020-01-03,New Year's Day
2020-01-24,Martin Luther King Jr. Day
2020-02-21,Washington's Birthday
2020-05-29,Memorial Day
2020-06-19,Juneteenth National Independence Day (Observed)
2020-07-10,Independence Day
2020-09-11,Labor Day
2020-11-27,Thanksgiving
2020-12-25,Christmas Day
2021-01-01,New Year's Day
2021-01-22,Martin Luther King Jr. Day
2021-02-19,Washington's Birthday
2021-06-04,Memorial Day
2021-06-18,Juneteenth National Independence Day (Observed)
2021-07-09,Independence Day
2021-09-10,Labor Day
2021-11-26,Thanksgiving
2021-12-31,Christmas Day
2022-01-07,New Year's Day
2022-01-21,Martin Luther King Jr. Day
2022-02-25,Washington's Birthday
2022-06-03,Memorial Day
2022-06-17,Juneteenth National Independence Day (Observed)
2022-07-08,Independence Day
2022-09-09,Labor Day
2022-11-25,Thanksgiving
2022-12-30,Christmas Day
2023-01-06,New Year's Day
2023-01-20,Martin Luther King Jr. Day
2023-02-24,Washington's Birthday
2023-06-02,Memorial Day
2023-06-23,Juneteenth National Independence Day
2023-07-07,Independence Day
2023-09-08,Labor Day
2023-11-24,Thanksgiving
2023-12-29,Christmas Day
